metric,variant,game_length,seeds,decision_maker,style,focus,strategy,n,mean,sd,se,cv,sd_ucl,n_pairs,rho,mean_diff,p_holm,delta,n_unpaired,n_paired,n_paired_ucl
Win Rate,Japanese Riichi,East only,500000..501199,Simple Bot (control),,,,1200,0.22521221139971076,0.18591169182736658,0.005366808266101442,0.8254956099933991,0.18920648701161394,,,,,,,,
Deal-in Rate,Japanese Riichi,East only,500000..501199,Simple Bot (control),,,,1200,0.1692178932178928,0.16673762085945523,0.004813300514362211,0.9853427299485176,0.16969260612606624,,,,,,,,
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,Simple Bot (control),,,,1200,0.10899999999999951,46.332022755438906,1.3374902904976258,425.0644289489827,47.153135854623706,,,,,,,,
Ending Placement,Japanese Riichi,East only,500000..501199,Simple Bot (control),,,,1200,2.4941666666666666,1.1270275646577912,0.0325344833919652,0.4518653784127462,1.1470011604873456,,,,,,,,
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Speed,Points,1200,0.22484803391053315,0.18196365985734875,0.00525283840006849,0.8092739646980944,0.1851884865711131,1200,0.2315056675727505,-0.0003641774891774842,1,0.022521221139971077,1048,805,834
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Speed,Points,1200,0.06806950456950472,0.10976136332683785,0.003168537633168507,1.6124895284754455,0.11170659446185167,1200,0.094645627173215,-0.10114838864838892,2.7818244151832704e-74,0.03384357864357856,274,250,259
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Speed,Points,1200,8.983333333333327,36.76903348936448,1.0614305691463473,4.093027846682506,37.420667785623166,1200,0.17936188419188298,8.87433333333333,4.238173168012554e-08,10,275,227,235
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Speed,Points,1200,2.2666666666666666,0.9872695375826981,0.028500016664304403,0.4355600901100139,1.0047662904012464,1200,0.1723005008793135,-0.2275,4.5833943160682286e-08,0.24941666666666668,284,235,244
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Speed,Placement,1200,0.22448373617123527,0.17898815584463945,0.005166942997932863,0.7973323987627684,0.18216024958504734,1200,0.24858492451316813,-0.0007284752284752263,1,0.022521221139971077,1031,775,803
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Speed,Placement,1200,0.06883543771043786,0.11091138194599348,0.0032017358111356363,1.611254110310908,0.11287699413273647,1200,0.08195083537575457,-0.10038245550745575,6.536155947768699e-72,0.03384357864357856,275,255,264
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Speed,Placement,1200,8.47766666666666,36.64248801362629,1.0577775159222387,4.322237409699168,37.29187962455436,1200,0.16912363171582706,8.368666666666664,2.3706246090503666e-07,10,274,229,237
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Speed,Placement,1200,2.27375,0.9917605196182996,0.028629660148663416,0.4361783483752829,1.009336863267516,1200,0.14842591207278732,-0.22041666666666668,1.4551788576986118e-07,0.24941666666666668,285,243,252
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Balanced,Points,1200,0.19343897306397237,0.17039164297393783,0.00491878304693328,0.8808547743767615,0.1734113861605462,1200,0.23293737353982305,-0.031773238335738384,7.611492005912036e-06,0.022521221139971077,985,756,783
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Balanced,Points,1200,0.06743064574314582,0.11205787148657838,0.0032348321133796256,1.661824089797758,0.11404380218142582,1200,0.09023371488032887,-0.10178724747474772,4.8545448230268765e-74,0.03384357864357856,277,254,263
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Balanced,Points,1200,7.361333333333337,35.81272908514504,1.0338244388861813,4.864978593345184,36.447415404034864,1200,0.16336989662164542,7.252333333333337,2.930431234941895e-06,10,270,227,235
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Balanced,Points,1200,2.3125,1.0040836136760283,0.028985397232237354,0.43419831942747167,1.0218783517175358,1200,0.13998680988743142,-0.18166666666666667,7.012471875202372e-06,0.24941666666666668,288,248,257
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Balanced,Placement,1200,0.1955205627705621,0.17349331159870157,0.0050083205077054984,0.887340488080996,0.1765680236941911,1200,0.22276880121165238,-0.029691648629148665,4.0583221465218344e-05,0.022521221139971077,1001,779,807
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Balanced,Placement,1200,0.06980988455988466,0.11544712351265529,0.003332671391859975,1.6537360610247376,0.11749311977489098,1200,0.0982393341999262,-0.09940800865800889,4.534194304008732e-70,0.03384357864357856,282,256,266
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Balanced,Placement,1200,7.85,36.79772856245518,1.0622589245550138,4.687608734070723,37.449871403322874,1200,0.17162253094679814,7.741000000000005,1.3651471844697117e-06,10,275,229,238
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Defensive,Balanced,Placement,1200,2.2920833333333333,1.008047184243015,0.029099815658927445,0.4397951721838277,1.0259121661357196,1200,0.1483244101001687,-0.20208333333333334,1.0665658237316132e-06,0.24941666666666668,289,246,255
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Speed,Points,1200,0.24475267556517466,0.18835492635081863,0.005437338371591863,0.7695724915606162,0.19169302143332806,1200,0.2313454667291849,0.01954046416546414,0.02824736269523843,0.022521221139971077,1084,834,863
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Speed,Points,1200,0.080018668831169,0.11823741579507217,0.003413220191878531,1.477622878787708,0.12033286264045508,1200,0.1259573252207652,-0.08919922438672463,1.90751740524213e-57,0.03384357864357856,287,253,262
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Speed,Points,1200,12.555999999999992,41.773685473014396,1.2059024276443808,3.3269899229861757,42.51401404714494,1200,0.17308623118866107,12.446999999999983,3.346901579666312e-13,10,306,253,262
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Speed,Points,1200,2.205,1.0139025258590126,0.02926884481183712,0.45981973961859984,1.0318712782632375,1200,0.15724119470116849,-0.2891666666666667,6.922594224388661e-12,0.24941666666666668,290,245,254
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Speed,Placement,1200,0.24364944083693985,0.18450811603418538,0.005326290523000381,0.757268785023257,0.18777803653347533,1200,0.241936901591936,0.018437229437229443,0.03570666868186139,0.022521221139971077,1062,805,834
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Speed,Placement,1200,0.08015521284271304,0.11932652297387121,0.00344466000802133,1.488693233315009,0.12144127137609848,1200,0.10525505757943299,-0.08906268037518057,7.45171815816439e-56,0.03384357864357856,289,260,269
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Speed,Placement,1200,10.44733333333333,39.82302668181614,1.1495917587346096,3.811788655652111,40.52878496545996,1200,0.17322819895263622,10.338333333333331,7.207028213419828e-10,10,293,243,252
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Speed,Placement,1200,2.23,1.003754420054934,0.02897589423094964,0.45011408971073275,1.0215433240063592,1200,0.15029717858440034,-0.26416666666666666,4.4084447513347384e-10,0.24941666666666668,288,245,254
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Points,1200,0.2098999218374212,0.17630114137718628,0.005089375571627838,0.8399295237172171,0.1794256148617601,1200,0.2450034647001429,-0.01531228956228954,0.10328915974413469,0.022521221139971077,1016,768,795
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Points,1200,0.0805487012987015,0.11921521476765343,0.0034414468168801875,1.4800389434655636,0.12132799052502867,1200,0.12197689250670962,-0.08866919191919216,2.615005336271184e-56,0.03384357864357856,288,255,264
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Points,1200,10.468666666666667,39.67642037155241,1.1453595990998267,3.7900165928375857,40.379580444399004,1200,0.19862159285886044,10.359666666666675,3.7091856718409923e-10,10,293,235,244
Ending Placement,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Points,1200,2.28,1.0299598767863858,0.029732380605856677,0.4517367880642043,1.0482132034526555,1200,0.15534659874509096,-0.21416666666666667,3.764894188845308e-07,0.24941666666666668,295,249,258
Win Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Placement,1200,0.2115637302512295,0.17619416260244639,0.005086287360408155,0.8328183776738,0.17931674016994062,1200,0.23543944385042265,-0.013648481148481158,0.1740545102160646,0.022521221139971077,1016,777,805
Deal-in Rate,Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Placement,1200,0.08022548747548769,0.1219601117529755,0.003520685167548862,1.5202165245831571,0.12412153358139448,1200,0.10482680079311275,-0.08899240574240595,4.765993035584062e-55,0.03384357864357856,293,264,273
Ending Points (% vs start),Japanese Riichi,East only,500000..501199,TileSense Guide,Balanced,Balanced,Placement,1200,9.581000000000012,38.89208318040778,1.1227177346776873,4.059292681391058,39.58134294190327,1200,0.17471529335470629,9.472000000000014,1.2512911026422709e-08,10,288,238,247
